iter	Passed	Remaining
402	15839	23464
403	15877	23423
404	15922	23392
405	15958	23347
406	15994	23304
407	16033	23264
408	16073	23226
409	16115	23190
410	16155	23151
411	16195	23114
412	16236	23076
413	16278	23041
414	16321	23007
415	16359	22966
416	16402	22931
417	16441	22892
418	16480	22853
419	16517	22810
420	16558	22773
421	16599	22736
422	16644	22704
423	16679	22659
424	16718	22619
425	16759	22581
426	16797	22540
427	16840	22506
428	16880	22467
429	16916	22424
430	16955	22384
431	16996	22347
432	17028	22297
433	17067	22258
434	17100	22210
435	17141	22173
436	17179	22133
437	17222	22097
438	17265	22063
439	17305	22024
440	17346	21987
441	17382	21944
442	17421	21904
443	17460	21864
444	17497	21822
445	17533	21779
446	17567	21733
447	17608	21695
448	17643	21651
449	17680	21609
450	17724	21575
451	17760	21532
452	17794	21486
453	17834	21448
454	17871	21406
455	17915	21372
456	17957	21336
457	17998	21299
458	18038	21261
459	18066	21208
460	18103	21167
461	18144	21129
462	18184	21090
463	18228	21056
464	18269	21020
465	18306	20977
466	18343	20935
467	18385	20900
468	18427	20863
469	18467	20825
470	18505	20784
471	18544	20744
472	18583	20704
473	18623	20666
474	18663	20627
475	18706	20592
476	18750	20558
477	18787	20516
478	18821	20471
479	18860	20432
480	18895	20387
481	18936	20350
482	18974	20310
483	19006	20263
484	19045	20223
485	19083	20182
486	19120	20141
487	19162	20105
488	19202	20065
489	19241	20027
490	19274	19980
491	19310	19938
492	19349	19898
493	19390	19861
494	19432	19825
495	19472	19787
496	19511	19747
497	19547	19704
498	19586	19664
499	19621	19621
500	19660	19582
501	19700	19543
502	19742	19507
503	19779	19465
504	19819	19427
505	19857	19387
506	19895	19346
507	19926	19299
508	19966	19260
509	20002	19218
510	20044	19181
511	20077	19136
512	20116	19097
513	20152	19055
514	20189	19013
515	20234	18979
516	20276	18943
517	20326	18913
518	20369	18878
519	20409	18839
520	20448	18800
521	20484	18757
522	20519	18714
523	20564	18680
524	20610	18647
525	20647	18606
526	20692	18572
527	20732	18533
528	20767	18490
529	20807	18452
530	20854	18419
531	20893	18379
532	20926	18335
533	20968	18298
534	21002	18254
535	21035	18210
536	21079	18174
537	21120	18137
538	21155	18093
539	21197	18056
540	21228	18011
541	21267	17971
542	21302	17929
543	21342	17889
544	21382	17851
545	21422	17812
546	21463	17775
547	21505	17738
548	21546	17700
549	21583	17659
550	21626	17622
551	21665	17583
552	21703	17543
553	21740	17502
554	21774	17458
555	21807	17414
556	21850	17378
557	21889	17339
558	21932	17302
559	21972	17264
560	22011	17224
561	22049	17184
562	22085	17142
563	22126	17104
564	22170	17069
565	22206	17027
566	22242	16986
567	22279	16945
568	22325	16910
569	22358	16866
570	22397	16827
571	22440	16791
572	22484	16755
573	22523	16715
574	22563	16677
575	22600	16636
576	22640	16598
577	22684	16561
578	22722	16521
579	22761	16482
580	22799	16442
581	22833	16399
582	22874	16361
583	22911	16320
584	22956	16285
585	22995	16245
586	23040	16210
587	23073	16166
588	23115	16129
589	23151	16088
590	23189	16048
591	23223	16005
592	23256	15961
593	23294	15922
594	23331	15881
595	23374	15844
596	23412	15804
597	23456	15768
598	23499	15731
599	23539	15693
600	23572	15649
601	23615	15612
602	23652	15571
603	23686	15529
604	23725	15489
605	23760	15448
606	23801	15410
607	23831	15364
608	23873	15327
609	23947	15310
610	23988	15272
611	24030	15235
612	24072	15197
613	24112	15158
614	24153	15120
615	24194	15082
616	24236	15044
617	24277	15006
618	24311	14964
619	24351	14925
620	24385	14882
621	24424	14843
622	24461	14802
623	24501	14763
624	24540	14724
625	24581	14686
626	24623	14648
627	24666	14611
628	24706	14572
629	24744	14532
630	24779	14490
631	24817	14450
632	24859	14413
633	24901	14375
634	24935	14332
635	24971	14291
636	25008	14251
637	25046	14211
638	25083	14170
639	25127	14134
640	25168	14095
641	25202	14053
642	25238	14012
643	25279	13974
644	25319	13935
645	25361	13897
646	25400	13858
647	25432	13815
648	25471	13776
649	25507	13734
650	25548	13696
651	25586	13656
652	25626	13617
653	25666	13578
654	25707	13540
655	25744	13500
656	25777	13457
657	25813	13416
658	25853	13377
659	25900	13342
660	25936	13301
661	25982	13265
662	26013	13222
663	26049	13181
664	26088	13142
665	26129	13103
666	26159	13060
667	26196	13019
668	26239	12982
669	26282	12945
670	26321	12905
671	26361	12866
672	26399	12826
673	26438	12787
674	26476	12747
675	26515	12708
676	26554	12669
677	26596	12631
678	26639	12593
679	26677	12553
680	26712	12512
681	26745	12471
682	26780	12429
683	26824	12392
684	26863	12353
685	26897	12311
686	26933	12271
687	26973	12232
688	27017	12195
689	27055	12155
690	27096	12116
691	27133	12076
692	27171	12037
693	27212	11998
694	27254	11960
695	27290	11919
696	27320	11876
697	27357	11836
698	27397	11797
699	27431	11756
700	27472	11717
701	27512	11679
702	27545	11637
703	27576	11594
704	27613	11554
705	27651	11515
706	27684	11473
707	27725	11434
708	27767	11396
709	27807	11358
710	27849	11320
711	27884	11279
712	27923	11239
713	27959	11199
714	27997	11160
715	28030	11118
716	28067	11078
717	28105	11038
718	28146	11000
719	28185	10961
720	28229	10923
721	28267	10884
722	28301	10842
723	28344	10805
724	28385	10767
725	28426	10728
726	28467	10690
727	28509	10652
728	28551	10613
729	28585	10572
730	28628	10535
731	28668	10495
732	28709	10457
733	28749	10418
734	28790	10380
735	28835	10343
736	28879	10305
737	28923	10268
738	28965	10230
739	29006	10191
740	29045	10152
741	29082	10112
742	29119	10072
743	29160	10033
744	29199	9994
745	29241	9956
746	29284	9918
747	29329	9881
748	29367	9841
749	29398	9799
750	29439	9760
751	29478	9721
752	29519	9683
753	29560	9644
754	29599	9605
755	29637	9565
756	29672	9525
757	29715	9487
758	29748	9445
759	29787	9406
760	29826	9367
761	29869	9329
762	29912	9291
763	29944	9249
764	29977	9208
765	30007	9166
766	30048	9128
767	30082	9087
768	30123	9048
769	30163	9009
770	30206	8971
771	30253	8934
772	30302	8898
773	30341	8859
774	30382	8820
775	30422	8781
776	30463	8743
777	30509	8705
778	30556	8668
779	30599	8630
780	30636	8590
781	30681	8553
782	30718	8513
783	30761	8475
784	30801	8436
785	30846	8398
786	30883	8358
787	30924	8319
788	30969	8282
789	31004	8241
790	31043	8202
791	31084	8163
792	31125	8124
793	31157	8083
794	31198	8045
795	31238	8005
796	31280	7967
797	31315	7926
798	31361	7889
799	31399	7849
800	31438	7810
801	31482	7772
802	31519	7732
803	31553	7692
804	31594	7653
805	31629	7613
806	31669	7573
807	31708	7534
808	31752	7496
809	31787	7456
810	31826	7416
811	31865	7377
812	31913	7340
813	31953	7301
814	31994	7262
815	32031	7222
816	32077	7185
817	32118	7146
818	32158	7107
819	32194	7067
820	32232	7027
821	32271	6988
822	32315	6949
823	32350	6909
824	32387	6870
825	32426	6830
826	32464	6791
827	32504	6752
828	32549	6714
829	32593	6675
830	32635	6636
831	32673	6597
832	32715	6558
833	32759	6520
834	32792	6479
835	32824	6439
836	32867	6400
837	32908	6361
838	32947	6322
839	32991	6284
840	33028	6244
841	33066	6204
842	33106	6165
843	33150	6127
844	33187	6087
845	33226	6048
846	33266	6009
847	33304	5969
848	33345	5930
849	33386	5891
850	33428	5852
851	33471	5814
852	33505	5774
853	33539	5733
854	33579	5694
855	33619	5655
856	33652	5615
857	33690	5575
858	33727	5536
859	33767	5497
860	33808	5458
861	33849	5419
862	33893	5380
863	33930	5340
864	33972	5302
865	34014	5263
866	34052	5223
867	34091	5184
868	34133	5145
869	34167	5105
870	34208	5066
871	34245	5026
872	34287	4987
873	34329	4949
874	34365	4909
875	34395	4868
876	34431	4829
877	34471	4789
878	34514	4751
879	34556	4712
880	34597	4673
881	34632	4633
882	34675	4594
883	34713	4555
884	34749	4515
885	34786	4475
886	34827	4436
887	34863	4397
888	34901	4357
889	34934	4317
890	34979	4279
891	35017	4239
892	35057	4200
893	35100	4161
894	35142	4122
895	35184	4083
896	35228	4045
897	35263	4005
898	35303	3966
899	35344	3927
900	35382	3887
901	35420	3848
902	35461	3809
903	35500	3769
904	35538	3730
905	35575	3691
906	35611	3651
907	35644	3611
908	35688	3572
909	35727	3533
910	35769	3494
911	35835	3457
912	35882	3419
913	35918	3379
914	35956	3340
915	35991	3300
916	36029	3261
917	36069	3221
918	36104	3182
919	36143	3142
920	36181	3103
921	36219	3064
922	36254	3024
923	36291	2985
924	36326	2945
925	36365	2906
926	36401	2866
927	36435	2826
928	36475	2787
929	36516	2748
930	36555	2709
931	36593	2669
932	36632	2630
933	36669	2591
934	36709	2552
935	36748	2512
936	36794	2473
937	36833	2434
938	36874	2395
939	36916	2356
940	36955	2317
941	36995	2277
942	37030	2238
943	37062	2198
944	37098	2159
945	37136	2119
946	37172	2080
947	37218	2041
948	37256	2002
949	37295	1962
950	37329	1923
951	37367	1884
952	37401	1844
953	37441	1805
954	37478	1765
955	37515	1726
956	37556	1687
957	37589	1647
958	37620	1608
959	37657	1569
960	37694	1529
961	37732	1490
962	37767	1451
963	37807	1411
964	37842	1372
965	37880	1333
966	37924	1294
967	37962	1254
968	37998	1215
969	38037	1176
970	38070	1137
971	38105	1097
972	38138	1058
973	38176	1019
974	38213	979
975	38253	940
976	38287	901
977	38325	862
978	38363	822
979	38403	783
980	38438	744
981	38482	705
982	38524	666
983	38568	627
984	38610	587
985	38647	548
986	38681	509
987	38713	470
988	38751	431
989	38790	391
990	38827	352
991	38868	313
992	38910	274
993	38948	235
994	38987	195
995	39021	156
996	39055	117
997	39092	78
998	39131	39
999	39173	0
